Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\DotNetCoreApplication.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 3.1.8,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 3.1.8  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\DotNetCoreApplication.csproj,,,Microsoft.EntityFrameworkCore.Tools 3.1.8,,,,,"Microsoft.EntityFrameworkCore.Tools, 3.1.8  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\DotNetCoreApplication.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 3.1.3,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 3.1.3  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\DotNetCoreApplication.csproj,,,Microsoft.EntityFrameworkCore.SqlServer.Design 1.1.6,,,,,"Microsoft.EntityFrameworkCore.SqlServer.Design, 1.1.6  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.SqlServer.Design, and replace with new package Microsoft.EntityFrameworkCore.SqlServer.Design, 1.1.6"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\DotNetCoreApplication.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\Controllers\EmployeeController.cs,17,8,T:Microsoft.AspNetCore.Hosting.IHostingEnvironment,,,,,"public EmployeeController(IEmployeeService employeeManager, IHostingEnvironment hostingEnvironment)         {             _employeeManager = employeeManager;             _hostingEnvironment = hostingEnvironment;         }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\Controllers\EmployeeController.cs,20,12,T:Microsoft.AspNetCore.Hosting.IHostingEnvironment,,,,,_hostingEnvironment = hostingEnvironment;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\Controllers\EmployeeController.cs,15,45,T:Microsoft.AspNetCore.Hosting.IHostingEnvironment,,,,,_hostingEnvironment
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\Controllers\EmployeeController.cs,17,8,T:Microsoft.AspNetCore.Hosting.IHostingEnvironment,,,,,"public EmployeeController(IEmployeeService employeeManager, IHostingEnvironment hostingEnvironment)         {             _employeeManager = employeeManager;             _hostingEnvironment = hostingEnvironment;         }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\Controllers\EmployeeController.cs,20,12,T:Microsoft.AspNetCore.Hosting.IHostingEnvironment,,,,,_hostingEnvironment = hostingEnvironment;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DotNetCoreApplication\DotNetCoreApplication.csproj,File,DotNetCoreApplication\Startup.cs,52,16,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
